Features,Mean,Std,Median
NYF;UN;_TY,5.62,6.66,2.09
NYF;UN;Y10,4.03,2.55,3.15
IR;UN;YSS,4.02,1.81,3.36
CAPE;MOV ;Y02,6.03,5.6,3.41
UN;_LCP;_TY,5.18,6.08,3.46
EMP;UN;_TY,3.66,1.52,3.53
UN;_AU;_TY,5.66,4.92,3.64
IR;MOV ;_AU,4.89,3.84,3.66
MOV ;UN;Y02,4.38,2.88,3.69
IR;MOV ;PE,5.17,3.58,3.78
IR;NYF;UN,4.7,1.89,3.87
YSS;_DXY;_TY,5.8,4.25,3.88
IR;NYF;_AU,5.13,4.27,3.91
IR;NYF;YSS,4.89,2.62,3.98
NYF;UN;YSS,4.89,2.9,4.07
UN;_DXY;_TY,5.11,3.28,4.13
UN;Y02;YSS,5.46,2.73,4.14
GDP;IR;NYF,6.33,4.73,4.15
IR;MOV ;UN,4.21,1.58,4.2
CF;MOV ;RR,5.3,2.5,4.23
ED;MOV ;Y02,5.54,3.12,4.36
MOV ;PE;Y02,4.48,2.27,4.36
ED;IR;NYF,5.23,3.1,4.39
UN;YSS;_TY,8.78,12.23,4.4
CF;IR;NYF,5.33,2.69,4.43
IR;UN;_AU,5.97,4.74,4.5
IR;M2;NYF,8.67,6.83,4.53
IR;NYF;PE,5.7,4.0,4.57
MOV ;UN;_TY,4.91,2.0,4.58
IR;UN;_TY,4.74,2.55,4.58
CF;RR;UN,5.51,2.75,4.59
ED;IR;MOV ,5.96,3.5,4.63
GDP;MOV ;Y02,5.54,2.9,4.71
UN;_TY,5.85,4.62,4.73
CF;NYF;UN,5.59,2.93,4.77
CAPE;IR;NYF,6.89,5.18,4.83
IR;UN,5.39,2.55,4.85
NYF;Y10;YSS,7.34,7.12,4.97
IR;NYF,6.99,4.45,4.98
GDP;IR;MOV ,5.54,2.21,5.11
IR;MOV ;NYF,5.5,2.49,5.33
CF;IR;UN,5.83,2.98,5.35
IR;YSS,6.43,3.93,5.62
IR;MOV ,5.83,3.05,5.7
UN;Y10;YSS,7.48,7.09,5.79
IR;MOV ;YSS,6.91,3.63,5.82
IR;MG;NYF,7.06,3.9,5.83
IR;YSS;_LCP,7.14,3.56,5.89
IR;RV;UN,5.96,1.88,5.91
CAPE;IR;MOV ,6.2,3.5,5.91
Y10;YSS,8.2,6.61,6.0
CF;IR;MOV ,6.85,4.74,6.02
MOV ;Y02,6.48,4.06,6.05
UN;YSS,6.28,1.73,6.06
DIL;UN;_TY,9.62,8.52,6.11
CF;IR;YSS,7.42,4.18,6.21
MOV ;UN;YSS,6.39,2.18,6.32
CAPE;IR;UN,7.34,3.64,6.44
IR;_AU,9.12,7.5,6.53
CF;MOV ;Y02,7.16,4.13,6.66
CF;UN;Y02,7.15,3.79,6.7
MOV ;Y02;YSS,7.44,4.55,6.71
RV;UN;Y02,6.69,2.81,6.72
IR;YSS;_AU,9.33,8.5,6.8
IR;M2;YSS,8.22,4.81,6.87
IR;PE;UN,7.25,4.8,6.89
IR;RV;_AU,10.99,9.44,6.98
IR;M2;MOV ,7.7,4.91,7.04
UN;Y02;_TY,7.11,2.75,7.06
IR;M2;_AU,10.3,8.19,7.1
IR;RV;YSS,7.79,3.92,7.11
CF;UN;_TY,7.18,4.79,7.11
CAPE;Y02;YSS,8.4,5.26,7.13
IR,9.37,5.12,7.21
MOV ;Y02;_DXY,7.91,3.1,7.32
IR;MG;YSS,8.55,2.4,7.49
RR;RV;YSS,9.47,6.89,7.51
CAPE;Y10;YSS,10.78,6.47,7.65
CAPE;UN;Y02,9.8,6.43,7.67
MG;MOV ;Y02,8.79,3.03,7.67
CF;UN;YSS,9.18,3.22,7.85
PE;UN;YSS,8.56,4.16,7.93
IR;MG;UN,9.18,3.31,7.93
CF;CPI;UN,7.6,2.85,7.96
IR;UN;Y10,10.18,4.87,7.98
IR;MG;MOV ,8.4,4.23,8.13
MOV ;UN,10.38,6.22,8.16
UN;Y10;_DXY,9.29,4.19,8.4
STP;UN;Y02,9.35,3.56,8.41
IR;_AU;_DXY,9.27,6.95,8.43
IR;MOV ;_DXY,8.52,2.5,8.53
CAPE;IR;YSS,11.43,9.89,8.55
MOV ;YSS,9.42,3.9,8.57
Y02;YSS;_LCP,9.67,5.81,8.64
Rho;YSS;_TY,9.3,5.47,8.65
UN;YSS;_AU,10.45,5.34,8.66
UN;Y02,9.34,4.51,8.68
CF;STP;UN,9.03,3.0,8.77
CF;Y02;YSS,11.11,5.79,8.79
Y02;YSS,8.74,3.99,8.88
IR;UN;_DXY,9.89,4.18,8.88
ED;MOV ;YSS,11.14,5.87,8.9
GDP;IR;YSS,11.44,6.37,8.98
PE;UN;Y10,10.47,5.87,8.98
UN;Y02;_DXY,10.3,6.02,9.08
Rho;UN;YSS,10.05,5.29,9.16
IR;MG,10.51,6.18,9.28
CF;RR;YSS,9.56,3.22,9.34
ED;UN;Y10,10.12,5.11,9.37
MOV ;UN;Y10,8.44,3.83,9.38
UN;YSS;_LCP,9.91,3.07,9.43
RV;UN;YSS,10.04,3.73,9.45
MG;Y02;YSS,10.5,4.69,9.59
CF;IR,11.46,6.46,9.61
IR;MG;RV,10.69,3.06,9.68
YSS,10.88,4.71,9.82
M2;MOV ;Y02,9.89,3.73,10.01
PE;UN;Y02,9.42,3.63,10.05
RR;UN;Y10,12.81,7.39,10.16
IR;YSS;_DXY,11.48,6.95,10.17
MOV ;Rho;UN,11.69,4.21,10.24
MOV ;PE;UN,12.16,6.96,10.3
ED;UN;YSS,10.84,4.62,10.43
GDP;IR,12.03,5.75,10.47
IR;M2,12.51,6.82,10.53
MG;Y10;YSS,12.0,6.94,10.56
UN;YSS;_DXY,10.26,3.98,10.58
CPI;Y10;YSS,11.58,5.08,10.67
CPI;PE;UN,11.38,4.93,10.89
CF;UN;Y10,10.8,3.35,10.96
CAPE;MOV ;UN,12.3,4.92,11.1
UN;Y10,13.69,9.42,11.22
ED;MOV ;UN,10.37,3.41,11.34
UN,11.11,4.44,11.5
MOV ,14.02,6.18,11.57
IR;MG;_AU,11.89,3.61,12.03
RV;UN;_TY,13.81,6.33,12.03
CF;YSS,12.56,4.53,12.05
CF;ED;YSS,12.95,4.92,12.2
CF;RR,12.3,5.68,12.25
CAPE;MOV ;YSS,15.8,11.05,12.26
CF;UN,13.13,5.6,12.29
MOV ;UN;_DXY,12.07,3.4,12.32
EMP;YSS;_DXY,12.72,3.72,12.36
CF;MOV ;_TY,13.22,6.18,12.37
CAPE;UN;_DXY,13.46,5.77,12.48
CF;MOV ;UN,12.94,7.0,12.55
DIL;Y02;YSS,13.93,7.72,12.56
CF;ED;STP,13.75,5.18,12.56
CAPE;IR;MG,13.74,4.3,12.59
IR;PE,12.59,5.39,12.61
MOV ;Rho;_TY,16.95,11.01,12.63
RV;Y02;YSS,11.54,6.06,12.69
MG;MOV ;Y10,12.86,4.79,12.69
CF;RR;_TY,13.4,5.98,12.78
RV;UN;Y10,12.08,4.74,12.79
CF;MG;Y02,14.25,4.7,13.0
CF;RR;_AU,13.27,8.46,13.29
GDP;MOV ;_AU,15.3,10.73,13.36
M2;Y02;YSS,14.62,7.33,13.39
CF;MOV ;STP,14.52,4.96,13.41
RV;Y10;YSS,14.43,7.2,13.41
GDP;IR;RV,13.64,6.23,13.54
MOV ;Rho;YSS,14.79,7.46,13.7
MG;UN;YSS,15.49,6.13,13.71
CF;MOV ;YSS,12.78,5.46,13.75
CF;ED;IR,13.27,4.99,13.76
CF;ED;Y02,16.31,7.16,13.77
CF;IR;MG,13.09,4.83,13.81
GDP;MOV ;Y10,14.72,6.98,13.85
CF;STP;YSS,16.0,7.03,13.86
MG;MOV ;_TY,15.77,7.84,13.88
MOV ;RV;UN,13.98,5.48,13.91
CF;IR;_AU,14.79,5.6,13.96
CF;Y02;_DXY,15.69,4.89,13.97
Rho;UN,14.61,5.02,14.08
Rho;UN;_TY,14.21,7.22,14.12
Y02;YSS;_DXY,14.13,4.63,14.23
IR;Rho;UN,15.08,4.12,14.23
GDP;Y02;YSS,14.8,7.65,14.33
CF;Y10;YSS,15.81,6.57,14.39
GDP;IR;_AU,13.92,5.14,14.54
YSS;_DXY,13.89,3.77,14.57
PE;UN;_LCP,15.38,8.49,14.7
CF;GDP;IR,13.6,5.19,14.7
MOV ;YSS;_DXY,16.23,7.97,14.7
CF;MOV ;Y10,15.73,6.5,14.72
CAPE;Rho;UN,16.97,7.22,14.79
MG;YSS,15.39,4.27,14.87
IR;M2;MG,16.5,8.25,14.89
Rho;UN;_DXY,16.4,5.58,14.93
Rho;UN;Y02,17.82,7.16,15.33
CF;STP,16.21,7.16,15.35
Y10;YSS;_DXY,16.7,8.28,15.44
M2;Y10;YSS,16.64,6.2,15.47
MOV ;RV;YSS,15.9,5.56,15.54
MG;Rho;YSS,16.41,5.82,15.55
PE;UN,14.82,5.29,15.64
Rho;YSS;_LCP,16.58,6.68,15.71
GDP;Y10;YSS,16.28,8.48,15.74
IR;MG;PE,17.55,7.41,15.85
ED;MOV ;_DXY,19.2,7.0,15.86
GDP;MOV ;UN,16.38,6.93,15.89
CF;Y02,15.53,5.36,15.9
CF;MOV ,16.47,5.74,15.98
CF;UN;_DXY,18.05,4.49,16.11
CAPE;CF;Y02,17.4,7.79,16.11
CF;Rho;YSS,17.75,6.91,16.26
MOV ;Rho;_AU,17.92,8.36,16.31
CAPE;CF;IR,16.39,6.44,16.35
UN;_DXY,15.69,3.83,16.44
PE;YSS;_DXY,16.98,4.21,16.55
CF;Y02;_AU,17.48,9.44,16.69
GDP;IR;_LCP,16.77,7.9,16.69
IR;Rho;YSS,16.89,5.25,16.77
CAPE;YSS;_DXY,18.54,5.82,16.87
Rho;YSS,16.66,6.18,16.87
CF;MG;YSS,17.76,6.59,16.88
MG;MOV ;YSS,17.83,6.52,16.93
CF;Rho;UN,18.26,6.35,16.98
MG;MOV ;UN,18.34,5.68,17.08
MG;YSS;_DXY,17.52,3.49,17.11
RV;YSS,16.52,5.98,17.14
GDP;MOV ;YSS,19.7,6.07,17.29
PE;UN;_DXY,18.4,5.68,17.52
CAPE;MG;YSS,18.11,5.79,17.64
RV;STP;YSS,18.19,8.65,17.65
GDP;IR;MG,23.02,14.06,17.67
ED;MOV ,19.27,7.63,17.74
Rho;YSS;_DXY,17.17,6.31,17.81
CAPE;MOV ;_LCP,18.15,8.57,17.84
CF;YSS;_DXY,17.38,4.3,18.02
CAPE;RV;YSS,19.91,11.24,18.07
GDP;YSS,20.28,5.74,18.09
GDP;MOV ;Rho,20.85,6.57,18.1
CF;IR;_DXY,20.32,11.02,18.18
STP;UN;Y10,17.12,5.61,18.18
CF;GDP;RR,20.07,9.85,18.45
IR;MG;_DXY,19.89,8.0,18.54
CF;PE;RR,21.22,7.86,18.6
CF;STP;_TY,18.11,9.22,18.65
CF;GDP;Y02,19.09,6.15,18.66
GDP;IR;_DXY,19.32,9.22,18.71
RV;Rho;YSS,22.47,10.11,18.89
CF;IR;PE,19.21,9.49,19.04
CAPE;IR;M2,17.29,8.18,19.13
CF;IR;M2,18.59,4.59,19.18
ED;MOV ;RV,20.7,7.55,19.18
IR;M2;PE,20.71,8.9,19.22
CF;ED;Y10,19.33,8.09,19.5
RV;YSS;_DXY,19.88,4.87,19.52
CF;MOV ;Rho,21.03,5.87,19.65
CAPE;MOV ,20.23,7.86,19.7
CF;ED,22.0,9.15,19.79
GDP;Rho;YSS,18.42,4.99,19.82
CF,21.19,7.37,19.87
CF;ED;MOV ,21.81,8.81,19.88
CF;PE;UN,18.94,8.69,19.99
CAPE;MOV ;Rho,21.4,7.77,20.14
GDP;IR;M2,19.7,8.55,20.15
Rho;STP;UN,19.91,4.13,20.16
PE;Rho;UN,18.69,6.78,20.19
GDP;MG;YSS,22.81,8.45,20.23
MG;YSS;_LCP,21.38,7.6,20.29
CF;GDP;YSS,20.9,9.96,20.37
ED;GDP;MOV ,22.71,8.67,20.38
MG;RV;YSS,22.14,6.68,20.52
CAPE;Rho;YSS,20.23,7.1,20.81
CF;PE;Y02,20.92,8.3,20.99
ED;MOV ;Rho,21.19,7.19,21.09
CAPE;GDP;MOV ,23.23,11.05,21.14
CAPE;CF;MOV ,21.2,8.31,21.31
CF;ED;_TY,24.01,8.09,21.35
GDP;YSS;_LCP,22.98,9.25,21.42
CF;MG;RR,21.32,7.55,21.6
RV;Rho;UN,20.53,7.16,21.65
GDP;YSS;_AU,20.12,9.29,21.79
GDP;Rho;UN,23.4,4.78,21.91
CAPE;M2;MOV ,24.23,11.27,22.1
ED;MG;MOV ,21.84,7.61,22.42
GDP;YSS;_DXY,20.39,6.47,22.49
CF;GDP;MOV ,23.79,9.66,22.5
MG;MOV ,23.19,6.37,22.53
MOV ;PE;Rho,22.42,4.86,22.53
GDP;RV;YSS,24.08,5.86,22.62
CAPE;CF;RR,26.81,12.44,22.8
ED;MOV ;PE,21.33,6.05,23.32
GDP;MOV ;_LCP,23.33,9.07,23.42
MOV ;Rho,24.35,8.75,23.51
GDP;MOV ,25.92,8.69,23.65
CAPE;MOV ;_DXY,24.31,7.99,23.77
MG;MOV ;Rho,23.3,7.18,24.0
CF;MG;MOV ,22.1,4.55,24.05
CAPE;DIL;MOV ,27.05,10.53,24.11
CAPE;MG;MOV ,25.83,8.6,24.18
CAPE;ED;MOV ,25.65,6.68,24.26
GDP;MOV ;RV,26.66,8.53,25.29
,24.95,6.76,25.72
CF;GDP;STP,28.66,9.99,25.92
GDP;IR;Rho,24.69,6.86,26.14
CAPE;CF,26.26,11.48,26.16
CF;MG;STP,26.27,6.38,26.26
DIL;GDP;IR,27.5,13.0,26.29
DIL;Rho;YSS,26.16,8.57,26.61
ED,28.54,10.75,26.75
GDP;MOV ;_DXY,28.82,7.78,28.11
MG;MOV ;PE,27.75,6.35,28.69
CF;ED;RV,28.66,12.99,29.29
CF;GDP,31.93,9.39,29.48
CF;RR;_DXY,30.56,13.37,29.85
GDP;MG;MOV ,32.05,11.93,30.22
CF;STP;_DXY,32.5,11.1,31.48
CF;PE;STP,32.28,11.02,32.14
CAPE;CF;STP,31.95,14.1,32.95
MG,34.64,10.35,34.64
CF;ED;_DXY,32.37,11.25,34.75
DIL;GDP;YSS,35.85,6.99,35.4
CF;ED;GDP,39.89,12.95,37.34
CAPE;CF;ED,38.18,12.1,38.34
GDP,41.26,13.61,43.49
