Features,Mean,Std,Median
UN;YSS;_DXY;_TY,3.18,1.6,2.45
UN;YSS;_AU;_TY,3.47,2.49,2.63
NYF;Rho;UN;YSS,3.44,1.39,3.07
UN;YSS;_LCP;_TY,4.19,3.36,3.12
NYF;UN;Y10;YSS,4.0,2.76,3.19
GDP;NYF;UN;YSS,5.07,3.2,3.65
UN;Y02;YSS,4.02,2.4,3.81
RR;RV;UN;YSS,5.54,3.91,3.96
IR;UN;YSS,4.89,2.69,4.07
UN;Y02;YSS;_LCP,5.06,2.25,4.12
ED;NYF;UN;YSS,6.08,3.42,4.37
DIL;NYF;UN;YSS,5.98,3.7,4.44
ED;UN;YSS;_TY,4.31,1.93,4.49
IR;UN;YSS;_LCP,4.98,2.36,4.69
CF;IR;UN;YSS,4.63,1.77,4.78
NYF;UN;YSS;_AU,5.05,2.32,4.79
UN;Y10;YSS;_AU,7.27,5.56,4.87
IR;RV;UN;YSS,5.64,2.2,4.87
CF;NYF;UN;YSS,6.98,5.26,4.92
NYF;RV;UN;YSS,6.94,4.28,5.05
RV;UN;Y02;YSS,5.59,3.36,5.07
NYF;UN;YSS,6.56,3.7,5.21
NYF;UN;YSS;_DXY,5.64,2.13,5.25
ED;RR;UN;YSS,7.42,6.1,5.37
IR;UN;YSS;_AU,5.72,3.42,5.39
EMP;RV;UN;YSS,6.91,3.77,5.4
DIL;IR;UN;YSS,6.7,3.78,5.46
UN;YSS;_LCP,8.88,5.96,5.56
CF;UN;Y02;YSS,6.68,3.76,5.6
ED;IR;UN;YSS,6.14,2.75,5.71
RR;UN;Y02;YSS,6.39,3.92,5.73
UN;Y10;YSS;_LCP,6.28,2.39,5.77
GDP;MOV ;Y02;YSS,6.22,3.56,5.81
STP;UN;Y02;YSS,7.98,4.94,5.85
UN;Y02;YSS;_AU,6.6,4.56,5.93
DIL;UN;Y02;YSS,7.91,4.86,6.11
RV;Y02;YSS,8.87,6.06,6.18
Rho;UN;YSS;_LCP,8.23,5.68,6.22
UN;YSS,6.93,2.54,6.63
IR;STP;UN;YSS,7.1,2.78,6.72
EMP;RV;Y02;YSS,6.09,2.92,6.88
UN;Y10;YSS,7.38,3.18,6.92
NYF;UN;YSS;_LCP,6.86,2.85,7.0
UN;YSS;_AU,6.86,3.76,7.03
PE;Rho;UN;YSS,8.46,6.12,7.23
