Model,Window Size,Look Ahead,Indexed,MSE Train,MAE Train,MSE Test,MAE Test,Exp Train,Std Train,IC Train,Exp Test,Std Test,IC Test,Sharp Ratio Train,Sharp Ratio Test
CNN,52,1,True,0.11093529313802719,0.25292664766311646,51.843780517578125,6.274662017822266,6.990958566558704,156.68636697571802,-0.0030878371658474963,2.932832223497308,26.680419026730334,0.3233628262539399,0.04461752928154947,0.10992451882254882
CNN,52,1,False,0.0005239896127022803,0.016420846804976463,0.0007304920582100749,0.018908239901065826,2.0070255636229293,16.824332081913273,0.08735672955739618,6.412469333267224,77.1391267660003,-0.0005837664314479766,0.11929303070405688,0.08312862229720719
MLP,52,1,True,0.06393223255872726,0.17287833988666534,1.8140358924865723,0.9977298974990845,2.1128833730793493,20.975108854474144,0.05022945616754292,3.4838402957930255,30.475937399143234,0.3510745813068789,0.10073289191196048,0.11431445898333438
MLP,52,1,False,0.0004959970829077065,0.015940049663186073,0.0006735863862559199,0.017642047256231308,7.5462920180900435,156.86068045783568,0.251222783566568,1.7655958451692202,10.327472626802626,-0.02821497522182389,0.048108244819953426,0.17096107721331688
LSTM,52,1,True,0.08514884114265442,0.20750096440315247,53.153751373291016,6.087679386138916,1.7031257473031887,14.974041262448878,0.013897236668485519,2.2594061259319282,18.719236260335066,0.35020000529064493,0.11373855043222024,0.1206996959977194
LSTM,52,1,False,0.0005344115779735148,0.01648644730448723,0.0006573059363290668,0.01751336269080639,1.2845433238983959,6.7869678406104414,-0.09012879152060244,2.9281322315909906,26.645067004350977,-0.07245015371321659,0.18926615744548156,0.10989397140989904
CNN,52,4,True,0.07099957764148712,0.19515366852283478,8.917365074157715,2.0604448318481445,0.08169828294170102,0.3659339888716375,0.21964836158882042,0.06285292531482749,0.3931889299517648,0.4315422515300308,0.22325961901931765,0.1598542596876725
CNN,52,4,False,0.001346248434856534,0.02648075297474861,0.003401968628168106,0.04290636256337166,0.4956698878497445,1.4483313539634117,0.5167336218182503,0.3423003159581174,1.1317882243542783,0.07446316735451672,0.3422351428720546,0.30244201926858777
MLP,52,4,True,0.12337864935398102,0.26655113697052,7.856489181518555,1.9949535131454468,0.050230097457146794,0.4258041049172409,0.34880669414533094,0.06677821732782392,0.42322619720448446,0.45008669725282346,0.11796527294378595,0.1577837519721389
MLP,52,4,False,0.001645573298446834,0.029382716864347458,0.002573316916823387,0.03667261078953743,0.4289995968755746,1.4621656493636803,0.31687067828207593,0.36724682647659623,2.1887598595802897,-0.02502225891790564,0.2934001336047464,0.1677876286286694
LSTM,52,4,True,0.40184685587882996,0.5427725911140442,83.91104888916016,7.776351451873779,0.06867492872510757,0.33514933751370307,0.21461972826641845,0.04162887796482741,0.49996128941722384,0.40552893144856383,0.20490844241128686,0.08326420234124886
LSTM,52,4,False,0.0018741240492090583,0.030998069792985916,0.002366109751164913,0.034701451659202576,0.37385814426454744,1.4151505088225431,0.10946202966514147,0.3273796013426876,1.1327110734446324,-0.005137200420602041,0.2641826024396593,0.2890230430493714
CNN,52,13,True,0.4652192294597626,0.5689675807952881,16.29539680480957,2.7082087993621826,0.011146570350137063,0.09726792289576329,0.052415491444172034,0.016367386284114677,0.10405841285537532,0.18639155215551767,0.11459657015686696,0.1572903702352519
